"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1829905,-0.0125766666667,2.28795820988
0.1,0.17836,0.0951825,2.35730984568
0.15,0.186249,0.233182833333,2.22149666667
0.2,0.2035705,0.339474722222,1.71735018519
0.25,0.2227785,0.402834444444,1.21912151235
0.3,0.244216,0.448948888889,0.95011
0.35,0.2677115,0.49049,0.861681635802
0.4,0.293265,0.532412222222,0.856864814815
0.45,0.3208765,0.575668333333,0.870891820988
0.5,0.3507175,0.62083,0.862369753086
0.55,0.383131,0.662942777778,0.834262808642
0.6,0.417088,0.703435833333,0.820129938272
0.65,0.453446,0.744214722222,0.821612037037
0.7,0.491519,0.784993611111,0.837174074074
0.75,0.5318215,0.827963888889,0.857447067901
0.8,0.5743535,0.870648333333,0.889047530864
0.85,0.6189435,0.914476111111,0.957171141975
0.9,0.66542,0.965163888889,1.02121898148
0.95,0.714812,1.02537944444,0.912549382716
1,0.769006,1.065015,0.650249660494
1.05,0.8223425,1.08492805556,0.491278688272
1.1,0.8775655,1.10322138889,0.536514459877
1.15,0.9317595,1.1348155,0.664451342593
1.2,0.9904125,1.17729986111,0.679282916667
1.25,1.051638,1.20526388889,0.627848796296
